crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bogorodica-evzoni,2026-06-22T01:56,15,15 min,anonymous_,2026-06-22T00:10:01+00:00
bogorodica-evzoni,2026-06-22T02:30,10,10 min,anonymous,2026-06-22T00:35:15+00:00
bogorodica-evzoni,2026-06-22T02:37,10,10 min,anonymous,2026-06-22T00:50:21+00:00
bogorodica-evzoni,2026-06-22T03:37,20,20 min,anonymous,2026-06-22T01:50:44+00:00
bogorodica-evzoni,2026-06-22T04:56,15,15 min,anonymous_,2026-06-22T03:06:12+00:00
bogorodica-evzoni,2026-06-22T05:53,10,10 min,anonymous_,2026-06-22T04:06:36+00:00
bogorodica-evzoni,2026-06-22T06:31,90,1.5 h,anonymous,2026-06-22T04:36:49+00:00
bogorodica-evzoni,2026-06-22T07:55,60,60 min,anonymous_,2026-06-22T06:07:31+00:00
bogorodica-evzoni,2026-06-22T08:32,40,40 min,anonymous,2026-06-22T06:37:47+00:00
bogorodica-evzoni,2026-06-22T08:27,120,2 h,anonymous,2026-06-22T06:37:47+00:00
bogorodica-evzoni,2026-06-22T08:55,45,45 min,anonymous,2026-06-22T07:08:00+00:00
bogorodica-evzoni,2026-06-22T09:56,40,40 min,anonymous_,2026-06-22T08:08:25+00:00
bogorodica-evzoni,2026-06-22T10:58,35,35 min,anonymous_,2026-06-22T09:08:51+00:00
bogorodica-evzoni,2026-06-22T11:45,30,30 min,anonymous,2026-06-22T09:54:11+00:00
bogorodica-evzoni,2026-06-22T12:04,30,30 min,anonymous,2026-06-22T10:09:18+00:00
bogorodica-evzoni,2026-06-22T12:15,10,10 min,anonymous,2026-06-22T10:24:24+00:00
bogorodica-evzoni,2026-06-22T12:54,60,60 min,anonymous,2026-06-22T10:54:37+00:00
bogorodica-evzoni,2026-06-22T13:11,150,2.5 h,anonymous,2026-06-22T11:20:33+00:00
bogorodica-evzoni,2026-06-22T12:54,20,20 min,anonymous,2026-06-22T11:20:33+00:00
bogorodica-evzoni,2026-06-22T14:07,10,10 min,anonymous,2026-06-22T12:20:58+00:00
bogorodica-evzoni,2026-06-22T15:14,5,5 min,anonymous,2026-06-22T13:21:22+00:00
bogorodica-evzoni,2026-06-22T15:30,5,5 min,anonymous,2026-06-22T13:36:28+00:00
bogorodica-evzoni,2026-06-22T16:27,15,15 min,anonymous_,2026-06-22T14:36:53+00:00
bogorodica-evzoni,2026-06-22T17:26,10,10 min,anonymous_,2026-06-22T15:37:20+00:00
