crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bajakovo-batrovci,2026-06-21T17:49,30,30 min,hak_croatia,2026-06-21T16:00:31+00:00
bajakovo-batrovci,2026-06-21T18:08,30,30 min,hak_croatia,2026-06-21T16:15:36+00:00
bajakovo-batrovci,2026-06-21T18:38,30,30 min,hak_croatia,2026-06-21T16:45:47+00:00
bajakovo-batrovci,2026-06-21T19:28,30,30 min,hak_croatia,2026-06-21T17:38:39+00:00
bajakovo-batrovci,2026-06-21T19:49,30,30 min,hak_croatia,2026-06-21T17:53:44+00:00
bajakovo-batrovci,2026-06-21T20:53,25,25 min,anonymous_,2026-06-21T19:00:42+00:00
bajakovo-batrovci,2026-06-21T21:28,30,30 min,hak_croatia,2026-06-21T19:30:53+00:00
bajakovo-batrovci,2026-06-21T21:49,30,30 min,hak_croatia,2026-06-21T20:01:05+00:00
bajakovo-batrovci,2026-06-21T22:08,10,10 min,hak_croatia,2026-06-21T20:16:11+00:00
bajakovo-batrovci,2026-06-21T22:38,10,10 min,hak_croatia,2026-06-21T20:48:38+00:00
bajakovo-batrovci,2026-06-21T23:28,10,10 min,hak_croatia,2026-06-21T21:33:58+00:00
bajakovo-batrovci,2026-06-21T23:49,10,10 min,hak_croatia,2026-06-21T22:02:54+00:00
bajakovo-batrovci,2026-06-22T00:08,10,10 min,hak_croatia,2026-06-21T22:18:00+00:00
bajakovo-batrovci,2026-06-22T00:38,10,10 min,hak_croatia,2026-06-21T22:48:11+00:00
bajakovo-batrovci,2026-06-22T01:28,10,10 min,hak_croatia,2026-06-21T23:39:49+00:00
bajakovo-batrovci,2026-06-22T01:49,10,10 min,hak_croatia,2026-06-21T23:54:54+00:00
bajakovo-batrovci,2026-06-22T02:08,10,10 min,hak_croatia,2026-06-22T00:10:01+00:00
bajakovo-batrovci,2026-06-22T02:28,10,10 min,hak_croatia,2026-06-22T00:35:15+00:00
bajakovo-batrovci,2026-06-22T02:49,10,10 min,hak_croatia,2026-06-22T00:50:21+00:00
bajakovo-batrovci,2026-06-22T02:38,10,10 min,hak_croatia,2026-06-22T00:50:21+00:00
bajakovo-batrovci,2026-06-22T03:53,5,5 min,anonymous_,2026-06-22T02:05:50+00:00
bajakovo-batrovci,2026-06-22T04:53,15,15 min,anonymous_,2026-06-22T03:06:12+00:00
